STATSSA_Area_Code,Description,Main_Code
2011-960042001,Basani SP,2011-960042
2011-270548001,Bashee SP,2011-270548
2011-797002004,Bashewa AH,2011-797002
2011-799076001,Bashewa SH,2011-799076
2011-589121001,Bashikizi SP,2011-589121
2011-982072006,Basogadi,2011-982072
2011-797030005,Basothome,2011-797030
2011-798015195,Bassonia,2011-798015
2011-797029021,Bassonia Rock,2011-797029
2011-982079001,Basterpad SP,2011-982079
2011-970024004,Bastiaansrust,2011-970024
2011-874065016,Bateleur Estate,2011-874065
2011-361012002,Bathlaro,2011-361012
2011-499024002,Batho,2011-499024
2011-665017001,Bathobatho SP,2011-665017
2011-265001002,Bathurst SP,2011-265001
2011-295252001,Batsoarele SP,2011-295252
2011-360023001,Battlemound SP,2011-360023
2011-267002001,Baviaans NU,2011-267002
2011-177002003,Baviaanskloof State Forest SP,2011-177002
2011-799045001,Baviaanspoort SH,2011-799045
2011-270136001,Bavuma SP,2011-270136
2011-271367001,Bawa SP,2011-271367
2011-199055008,Bay Park,2011-199055
2011-199039016,Bay View,2011-199039
2011-176014001,Bay View SP,2011-176014
2011-199053010,Bay View Village,2011-199053
2011-581028001,Bayeni SP,2011-581028
2011-599054031,Bayhead,2011-599054
2011-297014001,Bayimani (Dayimani) SP,2011-297014
2011-499023019,Baysvalley,2011-499023
2011-260113058,Baysville,2011-260113
2011-499023009,Bayswater,2011-499023
2011-499023010,Bayswater Rural,2011-499023
2011-969113001,Bayswater SP,2011-969113
2011-599161014,Bayview,2011-599161
2011-199053011,Bayview Heights,2011-199053
2011-290238001,Bazana SP,2011-290238
2011-585025001,Bazaneni SP,2011-585025
2011-504052001,Bazini SP,2011-504052
2011-294088001,Baziya Mission SP,2011-294088
2011-561016001,Bazley Beach SP,2011-561016
2011-199042006,Beach Estate,2011-199042
2011-299012001,Beachview,2011-299012
2011-599054011,Beachwood Mangroves,2011-599054
2011-260113008,Beacon Bay,2011-260113
2011-260113004,Beacon Bay North,2011-260113
2011-260044014,Beacon Hill,2011-260044
2011-506051006,Beacon Rocks,2011-506051
2011-199039010,Beacon Valley,2011-199039
2011-199004003,Beaconhill,2011-199004
2011-383006047,Beaconsfield,2011-383006
2011-264002002,Beaconsfield Mine,2011-264002
2011-199015026,Beaconvale,2011-199015
2011-183005010,Beaufort West Industrial Park,2011-183005
2011-183004001,Beaufort West NU,2011-183004
2011-183005004,Beaufort West SP,2011-183005
2011-978008001,Beauty,2011-978008
2011-162008001,Beaverlac Nature Reserve,2011-162008
2011-260113049,Bebelele,2011-260113
2011-279012001,Beccels SP,2011-279012
2011-763004021,Beckedan AH,2011-763004
2011-467009011,Bedelia,2011-467009
2011-277002002,Bedford 1,2011-277002
2011-294040015,Bedford Convent,2011-294040
2011-797008032,Bedford Gardens,2011-797008
2011-797008018,Bedford Park,2011-797008
2011-277002001,Bedford SP2,2011-277002
2011-797008019,Bedfordview,2011-797008
2011-590030001,Bedlane SP,2011-590030
2011-760009046,Bedworth Park,2011-760009
2011-381005003,Beeshoek Mine,2011-381005
2011-165007003,Beeskamp,2011-165007
2011-274133001,Begha Mouth SP,2011-274133
2011-579007001,Beginsel SP,2011-579007
2011-966015001,Begwa SP,2011-966015
2011-799029006,Beirut,2011-799029
2011-967003001,Beit Bridge SP,2011-967003
2011-163003006,Bek Bay,2011-163003
2011-573029001,Bekabhezayo SP,2011-573029
2011-297362001,Bekela SP,2011-297362
2011-284400001,Bekileni SP,2011-284400
2011-765002010,Bekkersdal SP,2011-765002
2011-274021001,Bekruipkop SP,2011-274021
2011-199041069,Bel Ombre,2011-199041
2011-199045001,Bel` Aire,2011-199045
2011-981002005,Bela-Bela Boat Club,2011-981002
2011-981003007,Bela-Bela Ext 1,2011-981003
2011-981003003,Bela-Bela Ext 2,2011-981003
2011-981003006,Bela-Bela Ext 5,2011-981003
